product_id,sku,name,brand,price_current,price_original,discount_amt,currency,installment,in_stock,category,url,image
113697,TM-DG-SBP-1105-SM-3642,OPPO A5 8/256 GB CPH2727 Mist White,OPPO,449.99,519.99,70,AZN,0% 6 ay,Unknown,Smartfonlar,https://kontakt.az/oppo-a5-8-256-gb-cph2727-mist-white,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3642_1-fc7b1675.webp
120077,TM-DG-SBP-1105-SM-3910,Vertu IronFlip Carbon Texture 12/512 GB Twill,Vertu,14999.99,16499.99,1500,AZN,0% 6 ay,Unknown,Smartfonlar,https://kontakt.az/vertu-ironflip-carbon-texture-12-512-gb-twill,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3910_1-e2769c83.webp
117740,TM-DG-SBP-1105-SM-3856,HONOR X9d 12/256 GB Reddish Brown,HONOR,769.99,999.99,230,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/honor-x9d-8-256-gb-reddish-brawn-6904522cabe89,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3856_1.png
120525,TM-DG-SBP-1105-SM-3904,OnePlus Nord 5 12/512 GB Phantom Grey,OnePlus,1529.99,1749.99,220,AZN,0% 18 ay,Unknown,Smartfonlar,https://kontakt.az/oneplus-nord-5-12-512-gb-phantom-grey,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3904_1-db17a1e1.webp
113572,TM-DG-SBP-1105-SM-3643,OPPO A5 8/256 GB CPH2727 Aurora Green,OPPO,449.99,519.99,70,AZN,0% 6 ay,Unknown,Smartfonlar,https://kontakt.az/oppo-a5-6-128-gb-cph2727-nebula-redoppo-a5i-8-256-gb-cph2727-aurora-green,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3643_1.png
114476,TM-DG-SBP-1105-SM-3649,Samsung Galaxy A07 (SM-A075) 6/128 GB Light Violet,Samsung,279.99,329.99,50,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a07-sm-a075-6-128-gb-light-violet,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3649_1.png
81145,TM-DG-SBP-1105-SM-2647,Samsung Galaxy S24 (SM-S921B) 8/256 GB Cobalt Violet,Samsung,1539.99,1819.99,280,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-s24-sm-s921b-8-256-gb-violet,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-2647_12.png
114478,TM-DG-SBP-1105-SM-3653,Samsung Galaxy A07 (SM-A075) 4/64 GB Black,Samsung,229.99,269.99,40,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a07-sm-a075-4-64-gb-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3653_1.png
115132,TM-DG-SBP-1105-SM-3659,Samsung Galaxy A17 (SM-A175) 4/128 GB Gray,Samsung,339.99,419.99,80,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a17-sm-a175-4-128-gb-gray,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3659_1.png
120522,TM-DG-SBP-1105-SM-3901,OPPO A5 Pro 8/128 GB Mocha Brown,OPPO,449.99,569.99,120,AZN,0% 6 ay,Unknown,Smartfonlar,https://kontakt.az/oppo-a5-pro-8-128-gb-mocha-brown,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3901_1-39c26a97.webp
