product_id,name,brand,barcode,price_current,price_original,discount_amt,discount_pct,currency,installment_monthly,available,stock_qty,label,category,url,image
11582,Telefon HONOR 400 Pro 12GB/256GB Midnight Black,Honor,400 PRO 12GB/256GB MIDNIGHT BLACK,1269.99,1419.99,150.0,,AZN,105.83,LimitedQuantity,7,,Honor telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-400-pro-12gb-256gb-midnight-black-p11582,https://static.elitoptimal.az/ElitOptimal/8d2ac97f-f538-4171-8599-0c76f4327425_Thumb.jpeg
11581,Telefon HONOR 400 Lite 8GB/256GB Velvet Grey,Honor,400 LITE 8GB/256GB VELVET GREY,639.99,719.99,80.0,,AZN,53.33,LimitedQuantity,11,,Honor telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-400-lite-8gb-256gb-velvet-grey-p11581,https://static.elitoptimal.az/ElitOptimal/123d13be-fd34-41b8-85c9-5984f5174ebd_Thumb.jpeg
11580,Telefon HONOR 400 Lite 8GB/256GB Velvet Black,Honor,400 LITE 8GB/256GB VELVET BLACK,639.99,719.99,80.0,,AZN,53.33,LimitedQuantity,12,,Honor telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-400-lite-8gb-256gb-velvet-black-p11580,https://static.elitoptimal.az/ElitOptimal/d9bf60ae-7fd2-426f-a226-8c55ae8c20cf_Thumb.jpeg
11579,Telefon HONOR 400 8GB/256GB Midnight Black,Honor,400 8GB/256GB MIDNIGHT BLACK,929.99,1019.99,90.0,,AZN,77.5,LimitedQuantity,12,,Honor telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-400-8gb-256gb-midnight-black-p11579,https://static.elitoptimal.az/ElitOptimal/8318fe1f-fbd0-4121-99eb-1bedea97788b_Thumb.jpeg
11467,Telefon Samsung Galaxy A26 8/256GB Mint,Samsung,SM-A266B 8/256 MINT,519.99,719.99,120.0,18.8,AZN,43.33,LimitedQuantity,3,,Samsung telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-samsung-galaxy-a26-8-256gb-mint-p11467,https://static.elitoptimal.az/ElitOptimal/a6660a04-7d32-4e57-ae0b-0f52ebddc448_Thumb.jpeg
11461,Samsung Galaxy A06 4/128GB Black,Samsung,SM-A065FZKGMEA,229.99,279.99,50.0,,AZN,19.17,LimitedQuantity,1,,Samsung telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/samsung-galaxy-a06-4-128gb-black-p11461,https://static.elitoptimal.az/ElitOptimal/819ec615-db48-4524-810f-076c55e1bf50_Thumb.jpeg
11460,Telefon Samsung Galaxy A06 4/64GB Black,Samsung,SM-A065FZKDMEA,189.99,239.99,50.0,,AZN,15.83,LimitedQuantity,3,,Samsung telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-samsung-galaxy-a06-4-64gb-black-p11460,https://static.elitoptimal.az/ElitOptimal/8cdc588a-649d-4ec7-b4a6-97ca99b072c8_Thumb.jpeg
11459,Telefon Samsung Galaxy A06 6/128GB Light Blue,Samsung,SM-A065FLBHMEA,239.99,289.99,50.0,,AZN,20.0,LimitedQuantity,1,,Samsung telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-samsung-galaxy-a06-6-128gb-light-blue-p11459,https://static.elitoptimal.az/ElitOptimal/db1dbdb1-5f87-4b8b-ac0d-bb6144c13db1_Thumb.jpeg
11457,Telefon Samsung Galaxy A06 4/64GB Light Blue,Samsung,SM-A065FLBDMEA,189.99,239.99,50.0,,AZN,15.83,LimitedQuantity,2,,Samsung telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-samsung-galaxy-a06-4-64gb-light-blue-p11457,https://static.elitoptimal.az/ElitOptimal/566d8355-c336-4747-b2be-a82c38cc7149_Thumb.jpeg
11455,Telefon Samsung Galaxy A16 4/128GB Light Green,Samsung,SM-165FLGDMEA,319.99,359.99,40.0,,AZN,26.67,LimitedQuantity,1,,Samsung telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-samsung-galaxy-a16-4-128gb-light-green-p11455,https://static.elitoptimal.az/ElitOptimal/2dfcbd28-4edb-4163-8d5e-278bc01f4f79_Thumb.jpeg
