product_id,name,price_current,price_original,currency,badges,specs,url,image
8590,Xiaomi Redmi 15C NFC (4GB RAM) Green 128GB,259.00,299.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.9"" | Operativ yaddaş 4 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 720 x 1600 | Ekran növü IPS LCD",https://bytelecom.az/az/products/xiaomi-redmi-15c-nfc-4gb-ram,https://bytelecom.az//media/2025/10/04/product_images/40808/redmi-15c-green-1.gif
8589,Xiaomi Poco C85 (8GB RAM) Purple 256GB,319.00,359.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.9"" | Operativ yaddaş 8 GB | Ekran icazəsi 720 x 1600 | Ekran növü IPS LCD | Prosessor növü Mediatek Helio G81 Ultra (12 nm)",https://bytelecom.az/az/products/xiaomi-poco-c85-8gb-ram,https://bytelecom.az//media/2025/10/04/product_images/40791/poco-c85-purple-1.gif
8588,Xiaomi Poco C85 (6GB RAM) Green 128GB,259.00,299.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.9"" | Operativ yaddaş 6 GB | Ekran icazəsi 720 x 1600 | Ekran növü IPS LCD | Prosessor növü Mediatek Helio G81 Ultra (12 nm)",https://bytelecom.az/az/products/xiaomi-poco-c85-6gb-ram,https://bytelecom.az//media/2025/10/04/product_images/40763/c85-green-1.gif
8502,İnfinix Hot 60 Pro+ (8GB RAM) Silver 256GB,559.00,609.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.78"" | Operativ yaddaş 8 GB | Ekran icazəsi 1224 x 2720 | Ekran növü AMOLED | Prosessor növü Mediatek Helio G200 (6 nm)",https://bytelecom.az/az/products/infinix-hot-60-pro-8gb-ram-1,https://bytelecom.az//media/2025/12/23/product_images/42831/hot-60-pro+-silver-1.jpg
8501,İnfinix Hot 60 Pro (8GB RAM) Silver 256GB,489.00,539.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.78"" | Operativ yaddaş 8 GB | Ekran icazəsi 1224 x 2720 | Ekran növü AMOLED | Prosessor növü Mediatek Helio G200 (6 nm)",https://bytelecom.az/az/products/infinix-hot-60-pro-8gb-ram,https://bytelecom.az//media/2025/09/19/product_images/40465/hot-60-pro-silver-1.jpg
8474,İnfinix Hot 50 Pro NFC (8GB RAM) Titanium Gray 256GB,499.00,529.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.78"" | Operativ yaddaş 8 GB | Ekran icazəsi 1080 x 2436 | Ekran növü AMOLED | Prosessor növü Mediatek Helio G100 (6 nm)",https://bytelecom.az/az/products/infinix-hot-50-pro-nfc-8gb-ram-1,https://bytelecom.az//media/2025/09/15/product_images/40314/hot-50-pro-gray-1.jpg
8431,HONOR X7d (8GB RAM) Gold 128GB,389.00,489.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.77"" | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran növü TFT LCD | Prosessor növü Qualcomm SM6225 Snapdragon 685 (6 nm) | Prosessor tezliyi Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53)",https://bytelecom.az/az/products/honor-x7d-8gb-ram,https://bytelecom.az//media/2025/09/03/product_images/40082/honor-x7d-gold-1.jpg
8361,Xiaomi Redmi 15C NFC (8GB RAM) Moonlight Blue 256GB,329.00,379.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.9"" | Operativ yaddaş 8 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 720 x 1600 | Ekran növü IPS LCD",https://bytelecom.az/az/products/xiaomi-redmi-15c-nfc-8gb-ram,https://bytelecom.az//media/2025/08/15/product_images/39675/15c-blue-1.jpg
8359,Xiaomi Redmi 15 (8GB RAM) Grey 256GB,419.00,469.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.9"" | Operativ yaddaş 8 GB | Ekran icazəsi 1080 x 2340 | Ekran növü IPS LCD | Prosessor növü Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm)",https://bytelecom.az/az/products/xiaomi-redmi-15-8gb-ram,https://bytelecom.az//media/2025/08/15/product_images/39637/redmi-15-gray-1.jpg
8358,Xiaomi Redmi 15 (6GB RAM) Grey 128GB,369.00,419.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.9"" | Operativ yaddaş 6 GB | Ekran icazəsi 1080 x 2340 | Ekran növü IPS LCD | Prosessor növü Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm)",https://bytelecom.az/az/products/xiaomi-redmi-15-6gb-ram,https://bytelecom.az//media/2025/08/15/product_images/39608/redmi-15-gray-1.jpg
8332,HONOR 400 Pro (12GB RAM) Grey 256GB,1259.00,1419.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.7'' | Operativ yaddaş 12 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1280 x 2800 | Ekran növü AMOLED",https://bytelecom.az/az/products/honor-400-pro-12gb-ram,https://bytelecom.az//media/2025/08/13/product_images/39481/honor-400-pro-grey-1.jpg
8331,HONOR X9c (12GB RAM) Titanium Black 256GB,769.00,839.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.78"" | Operativ yaddaş 12 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1224 x 2700 | Ekran növü AMOLED",https://bytelecom.az/az/products/honor-x9c-12gb-ram,https://bytelecom.az//media/2025/08/13/product_images/39454/x9c-black-1.jpg
8328,HONOR X6c (6GB RAM) Ocean Cyan 128GB,319.00,359.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.61"" | Operativ yaddaş 6 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 720 x 1604 | Ekran növü TFT LCD",https://bytelecom.az/az/products/honor-x6c-6gb-ram,https://bytelecom.az//media/2025/08/11/product_images/39420/x6c-ocean-cyan-1.jpg
8327,İnfinix Hot 60i (4GB RAM) Blue 128GB,269.00,309.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.7'' | Operativ yaddaş 4 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 720 x 1600 | Ekran növü IPS LCD",https://bytelecom.az/az/products/infinix-hot-60i-4gb-ram,https://bytelecom.az//media/2025/10/20/product_images/40965/hot-60i-blue-1.jpg
8324,Samsung Galaxy A36 (6GB RAM) Lavander 128GB,629.00,699.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,Ekran ölçüsü 6.7'' | Operativ yaddaş 6 GB | Ekran icazəsi 1080 x 2340 | Ekran növü Super Amoled | Prosessor növü Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),https://bytelecom.az/az/products/samsung-galaxy-a36-6gb-ram,https://bytelecom.az//media/2025/08/11/product_images/39289/a36-purple-1.jpg
8315,Samsung Galaxy Z Fold7 (12GB RAM),3799.00,4199.00,AZN,Taksitlə al | Stokda Yoxdur,"Ekran ölçüsü 8.0"" | Operativ yaddaş 12 GB | Ekran icazəsi 1968 x 2184 | Ekran növü Foldable Dynamic LTPO AMOLED 2X | Prosessor növü Qualcomm SM8750-AC Snapdragon 8 Elite (3 nm)",https://bytelecom.az/az/products/samsung-galaxy-z-fold7-12gb-ram,https://bytelecom.az//media/2025/07/21/product_images/39171/fold-7-black-1.jpg
8314,Samsung Galaxy Z Flip7 (12GB RAM),2269.00,2509.00,AZN,Taksitlə al | Stokda Yoxdur,"Ekran ölçüsü 6.9"" | Operativ yaddaş 12 GB | Ekran icazəsi 1080 x 2520 | Ekran növü Foldable Dynamic LTPO AMOLED 2X | Prosessor növü Exynos 2500 (3 nm)",https://bytelecom.az/az/products/samsung-galaxy-z-flip7-12gb-ram,https://bytelecom.az//media/2025/07/21/product_images/39166/flip-7-black-1.jpg
